epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.9597,1.61534,2.05243,1.48139,0.78739,0.58092,0.68062,0.30503,1.86313,1.77399,1.66116,0.000663446,0.000663446,0.000663446
2,99.3358,1.6667,1.57331,1.53847,0.68791,0.60003,0.68022,0.28273,1.89594,1.77552,1.76969,0.00130378,0.00130378,0.00130378
3,142.903,1.69657,1.41286,1.55343,0.79167,0.70031,0.77417,0.36843,1.82922,1.40494,1.72858,0.00191771,0.00191771,0.00191771
4,186.317,1.66237,1.29378,1.53533,0.75426,0.74649,0.78992,0.36599,1.79848,1.55507,1.75539,0.0018812,0.0018812,0.0018812
5,229.678,1.61525,1.22324,1.49003,0.83837,0.76239,0.82725,0.39848,1.78941,1.279,1.65833,0.0018416,0.0018416,0.0018416
6,273.879,1.59484,1.18035,1.46905,0.85108,0.80193,0.84549,0.4193,1.75584,1.29604,1.67829,0.001802,0.001802,0.001802
7,318.258,1.57695,1.14869,1.47104,0.8123,0.7811,0.82586,0.40097,1.7401,1.32853,1.67086,0.0017624,0.0017624,0.0017624
8,361.241,1.54922,1.09174,1.43611,0.82407,0.84129,0.85004,0.45082,1.64989,1.14716,1.54573,0.0017228,0.0017228,0.0017228
9,404.321,1.51269,1.0535,1.4218,0.82675,0.80355,0.83141,0.42296,1.68987,1.24428,1.61743,0.0016832,0.0016832,0.0016832
10,447.565,1.50855,1.00641,1.40583,0.8503,0.85313,0.87322,0.44409,1.66396,1.16886,1.59036,0.0016436,0.0016436,0.0016436
11,491.446,1.49426,1.01558,1.39662,0.86242,0.8737,0.89523,0.4744,1.61137,1.08757,1.51064,0.001604,0.001604,0.001604
12,535.964,1.49149,0.98132,1.38826,0.81363,0.80454,0.84572,0.44594,1.69931,1.09855,1.58076,0.0015644,0.0015644,0.0015644
13,579.574,1.47211,0.96248,1.38705,0.8704,0.87328,0.90139,0.47681,1.63552,1.02685,1.51687,0.0015248,0.0015248,0.0015248
14,623.498,1.46272,0.96236,1.37009,0.8863,0.89429,0.91175,0.49562,1.59011,1.0364,1.48521,0.0014852,0.0014852,0.0014852
15,668.807,1.44273,0.90802,1.36105,0.89582,0.90093,0.91798,0.48469,1.60312,0.99449,1.50092,0.0014456,0.0014456,0.0014456
16,714.59,1.43661,0.91399,1.35578,0.85872,0.87184,0.88775,0.4826,1.5879,1.08742,1.50803,0.001406,0.001406,0.001406
17,758.713,1.41318,0.90231,1.34007,0.90307,0.86285,0.9188,0.4828,1.60346,1.02935,1.49572,0.0013664,0.0013664,0.0013664
18,818.904,1.40514,0.87869,1.33601,0.87845,0.87558,0.91426,0.4942,1.59839,0.995,1.49932,0.0013268,0.0013268,0.0013268
19,867.365,1.40028,0.85565,1.32961,0.88023,0.89055,0.91122,0.49811,1.60504,0.95087,1.49876,0.0012872,0.0012872,0.0012872
20,911.408,1.38839,0.86461,1.32114,0.87914,0.89141,0.90653,0.48711,1.58298,1.01902,1.48233,0.0012476,0.0012476,0.0012476
21,957.004,1.37185,0.83006,1.3221,0.87713,0.88152,0.90799,0.51091,1.52223,1.01678,1.44244,0.001208,0.001208,0.001208
22,1004.04,1.38731,0.83859,1.33087,0.86963,0.88603,0.89748,0.5042,1.54333,0.97023,1.44521,0.0011684,0.0011684,0.0011684
23,1049.01,1.36369,0.82229,1.31606,0.90635,0.88725,0.91247,0.51079,1.55019,0.92913,1.45583,0.0011288,0.0011288,0.0011288
24,1093.64,1.34888,0.81359,1.30328,0.89775,0.89149,0.90786,0.4991,1.5626,0.99262,1.48313,0.0010892,0.0010892,0.0010892
25,1139.05,1.34984,0.80762,1.30583,0.89503,0.90135,0.92146,0.5099,1.52665,0.95811,1.44048,0.0010496,0.0010496,0.0010496
26,1182.38,1.33991,0.78892,1.289,0.90085,0.88868,0.91702,0.50803,1.578,0.93819,1.49119,0.00101,0.00101,0.00101
27,1224.76,1.33782,0.78437,1.29381,0.87876,0.90552,0.91061,0.52793,1.50741,0.92569,1.4205,0.0009704,0.0009704,0.0009704
28,1269.68,1.31973,0.76645,1.2758,0.91291,0.89228,0.92051,0.51343,1.5327,0.91272,1.44532,0.0009308,0.0009308,0.0009308
29,1312.01,1.29238,0.75827,1.26808,0.88791,0.89523,0.91516,0.50912,1.51767,0.89512,1.44536,0.0008912,0.0008912,0.0008912
30,1353.76,1.30657,0.75756,1.26554,0.88369,0.89552,0.91755,0.5124,1.54528,0.95125,1.44712,0.0008516,0.0008516,0.0008516
31,1395.48,1.29965,0.74484,1.26447,0.91305,0.89429,0.92458,0.52913,1.48031,0.95023,1.40609,0.000812,0.000812,0.000812
32,1437.67,1.29777,0.74645,1.27029,0.88067,0.9102,0.92311,0.5147,1.51092,0.93913,1.4256,0.0007724,0.0007724,0.0007724
33,1481.42,1.29196,0.74327,1.26581,0.90569,0.90733,0.92239,0.52571,1.51449,0.92443,1.4393,0.0007328,0.0007328,0.0007328
34,1526.49,1.27281,0.73849,1.25991,0.91061,0.90534,0.93318,0.53456,1.48839,0.88216,1.40514,0.0006932,0.0006932,0.0006932
35,1572.79,1.26918,0.71422,1.25252,0.90522,0.90365,0.93126,0.52815,1.51882,0.8893,1.43227,0.0006536,0.0006536,0.0006536
